TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
LAME3;6,60;;21,15;1,91;0,28;32,90;4,35;2,27;11,03;16,86;5,87;1,01;0,48;1,20;-0,66;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,97;12.391.135.396,59
LAME4;6,57;;21,06;1,90;0,28;32,90;4,35;2,27;10,98;16,86;5,87;1,01;0,48;1,19;-0,65;1,72;9,02;1,34;3,37;0,15;0,63;0,59;3,50;18,61;;3,46;0,31;-46,75;12.391.135.396,59
LAND3;8,43;;246,41;1,22;0,84;95,65;-1,71;3,39;-489,26;-531,43;-42,17;0,10;8,35;14,49;-0,97;1,76;0,49;0,34;-7,04;0,69;0,31;0,10;13,15;-38,27;592.304,33;6,93;0,03;-3,57;811.193.289,66
LAVV3;11,94;21,55;5,88;1,71;0,50;33,83;25,07;22,06;5,17;6,23;1,06;0,35;1,30;0,76;-3,85;4,22;29,03;8,56;13,59;0,29;0,65;0,39;37,41;33,53;4.137.530,43;7,00;2,03;0,56;2.333.486.162,88
LCAM3;24,15;;8,39;1,13;0,79;21,34;14,36;18,40;10,75;8,49;-2,27;-0,24;1,54;2,97;-1,15;6,45;13,49;9,38;-11,87;0,70;0,18;0,51;12,12;34,05;;21,32;2,88;0,11;12.285.815.275,65
LEVE3;33,40;8,53;6,82;4,23;1,18;27,06;17,26;12,31;4,86;5,93;1,07;0,93;0,84;7,09;-3,07;1,37;62,01;17,34;21,45;0,28;0,72;1,41;17,61;39,77;5.659.288,29;7,90;4,90;0,21;4.527.002.600,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;3,37;;0,48;0,15;0,04;14,11;5,27;17,09;1,56;12,00;10,44;1,01;0,08;-0,60;-0,05;0,70;31,42;9,25;-9,48;0,29;0,71;0,54;2,78;30,46;9.993.122,77;22,34;7,02;0,06;1.255.511.441,88
LINX3;37,40;;-90,95;4,38;2,74;68,70;-4,79;-8,67;-164,48;-159,30;5,18;-0,14;7,88;11,96;-4,82;2,14;-4,81;-3,02;-2,23;0,63;0,37;0,35;14,30;;;8,55;-0,41;0,13;7.083.895.104,00
LIPR3;36,01;;16,64;1,82;1,71;;;;19,65;16,43;-3,21;-0,30;;6,65;-2,46;6,18;10,96;10,25;7,90;0,94;0,06;0,00;;;;19,74;2,16;0,37;423.653.652,89
LJQQ3;1,31;;-1,41;0,79;0,07;31,77;-0,14;-6,84;-67,08;-16,44;50,64;-0,60;0,10;0,20;-0,28;1,86;-56,07;-4,93;-1,68;0,09;0,91;0,72;11,46;;3.502.437,10;1,66;-0,93;-0,01;271.061.614,53
LOGG3;27,82;24,99;6,08;0,65;0,36;96,86;254,38;155,03;3,70;6,99;3,28;0,58;9,42;-14,66;-0,40;0,82;10,75;5,86;9,60;0,54;0,45;0,04;11,94;23,51;20.154.674,86;42,59;4,58;0,82;2.444.241.664,28
LOGN3;27,39;;100,92;2,80;0,77;14,83;14,91;0,95;6,41;9,46;3,05;1,33;0,96;9,70;-1,14;1,33;2,77;0,76;-4,33;0,28;0,72;0,81;22,30;17,59;448.118,90;9,79;0,27;-1,70;2.939.124.651,54
LPSB3;1,49;14,91;5,34;0,92;0,55;77,19;24,96;20,18;4,32;2,87;-1,45;-0,31;1,08;5,66;-0,77;1,48;17,29;10,21;16,35;0,59;0,43;0,51;4,02;;229.671,48;1,61;0,28;0,05;219.856.400,19
LREN3;14,97;7,37;10,09;1,45;0,80;61,95;11,38;9,37;8,31;7,51;-0,80;-0,14;0,95;3,15;-1,90;1,77;14,41;7,91;13,34;0,55;0,45;0,84;16,00;6,38;193.985.906,14;10,30;1,48;0,60;15.072.471.072,15
LTEL3B;86,61;1,24;71,80;5,17;5,16;;;;75,17;74,50;-0,66;-0,05;;107,75;-5,43;170,15;7,20;7,19;6,80;1,00;0,00;0,00;;-6,79;;16,76;1,21;-1,38;18.664.056.853,83
LUPA3;0,73;;-0,32;2,57;0,08;15,69;-255,48;-281,99;-0,36;-2,28;-1,92;13,83;0,91;5,72;-0,14;1,03;-795,76;-23,60;-50,75;0,03;0,97;0,08;-0,95;;33.084,77;0,28;-2,26;0,00;34.542.215,19
LUXM3;0,00;;0,00;0,00;0,00;29,66;17,37;13,10;0,00;2,31;-0,33;-0,05;0,00;0,00;0,00;1,82;11,91;8,53;7,54;0,72;0,28;0,65;8,61;19,49;;4,14;0,49;0,00;71.638.560,00
LUXM4;3,09;;6,26;0,75;0,53;29,66;17,37;13,10;4,72;2,31;-0,33;-0,05;0,82;5,74;-0,67;1,82;11,91;8,53;7,54;0,72;0,28;0,65;8,61;19,49;11.624,55;4,14;0,49;-0,14;71.638.560,00
LWSA3;4,15;1,25;-10,79;1,01;0,67;48,73;-17,23;-14,56;-9,11;-7,94;1,17;-0,13;1,57;15,92;-1,03;1,14;-9,34;-6,21;-17,35;0,67;0,33;0,43;24,98;;13.783.410,33;4,12;-0,38;0,01;2.359.529.602,50
MAPT3;2,50;;-22,09;-0,35;2,97;;;;-22,30;-24,56;0,00;;;-47,86;-2,97;0,00;-1,58;-13,45;1,57;-8,51;9,51;0,00;;;0,00;-7,16;-0,11;0,62;2.529.457,50
MAPT4;3,00;;-26,51;-0,42;3,57;;;;-26,76;-24,56;0,00;;;-57,43;-3,57;0,00;-1,58;-13,45;1,57;-8,51;9,51;0,00;;;18,75;-7,16;-0,11;0,75;2.529.457,50
MATD3;4,88;3,08;13,15;1,09;0,38;30,28;16,88;5,50;4,28;6,34;2,06;0,52;0,72;1,64;-0,58;2,91;8,26;2,86;9,16;0,35;0,65;0,52;24,82;11,25;1.059.471,43;4,49;0,37;-0,10;1.627.718.266,00
MBRF3;17,10;16,44;62,83;2,10;0,17;12,38;3,47;0,23;4,21;12,94;8,73;4,35;0,15;6,58;-0,28;1,08;3,34;0,28;4,71;0,08;0,90;1,19;19,43;-35,05;111.376.916,90;8,15;0,27;-0,73;23.972.765.446,80
MDIA3;17,82;5,42;8,67;0,72;0,48;32,46;6,93;6,67;8,35;7,63;-0,72;-0,06;0,58;1,68;-0,88;2,65;8,33;5,50;6,31;0,66;0,34;0,83;7,55;-1,82;10.446.870,18;24,66;2,06;0,36;6.040.980.000,00
MDNE3;29,48;10,13;6,07;1,45;0,50;36,36;20,47;19,89;5,90;6,06;0,16;0,04;1,21;1,40;-1,12;2,78;23,93;8,21;15,01;0,34;0,66;0,41;35,64;;21.602.053,48;20,30;4,86;0,07;3.072.240.335,12
MEAL3;0,96;;-1,49;0,36;0,13;33,25;2,28;-11,66;7,62;12,96;5,35;0,25;0,17;-2,04;-0,17;0,75;-23,97;-9,01;1,87;0,38;0,62;0,77;8,44;;126.709,62;2,68;-0,64;-0,01;275.209.478,40
MELK3;3,24;12,86;5,40;0,62;0,23;24,68;10,20;10,20;5,40;9,18;3,78;0,43;0,55;0,65;-0,70;2,19;11,47;4,35;4,59;0,38;0,57;0,43;13,95;23,81;1.358.807,14;5,22;0,60;0,04;668.312.664,84
MERC3;15,28;1,19;19,92;1,06;0,97;98,43;2,81;27,06;191,68;193,96;;;5,39;637,89;-0,97;;5,33;4,88;;0,92;0,08;0,18;15,19;29,15;;14,39;0,77;0,79;633.848.550,20
MERC4;15,72;3,37;20,49;1,09;1,00;98,43;2,81;27,06;197,20;193,96;;;5,54;656,26;-1,00;;5,33;4,88;;0,92;0,08;0,18;15,19;29,15;0,00;14,39;0,77;0,81;633.848.550,20
MGEL3;74,10;;10,03;8,43;0,57;12,94;7,38;3,94;5,36;8,43;6,27;9,86;0,40;-1,23;-1,02;0,48;84,02;5,70;13,66;0,07;0,93;1,45;14,25;;;8,80;7,39;-0,04;173.137.459,83
MGEL4;5,37;;0,73;0,61;0,04;12,94;7,38;3,94;0,39;8,43;6,27;9,86;0,03;-0,09;-0,07;0,48;84,02;5,70;13,66;0,07;0,93;1,45;14,25;;20.743,32;8,80;7,39;0,00;173.137.459,83
MGLU3;4,44;1,75;25,22;0,31;0,09;29,88;4,76;0,35;1,88;3,75;1,87;0,30;0,09;1,62;-0,19;1,13;1,21;0,37;5,81;0,31;0,69;1,05;5,81;-19,00;101.014.716,29;14,53;0,18;-0,37;3.445.195.844,40
MILS3;15,49;6,86;8,44;2,04;0,84;61,90;35,43;22,79;5,43;7,15;1,72;0,65;1,92;4,65;-1,25;2,21;24,19;9,93;16,42;0,41;0,59;0,44;29,41;;15.351.317,45;7,59;1,84;0,17;3.628.356.858,89
MLAS3;1,69;2,99;7,67;0,45;0,26;26,14;4,91;4,48;7,00;6,04;-0,96;-0,06;0,34;0,72;-0,89;2,08;5,85;3,44;5,07;0,59;0,41;0,77;6,65;-16,47;1.893.932,43;3,76;0,22;-0,04;1.386.711.290,25
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;18,68;;-4,96;1,61;0,13;38,86;14,03;-3,70;1,31;4,79;3,48;4,28;0,18;-1,03;-0,22;0,76;-32,37;-2,62;21,31;0,08;0,92;0,71;14,65;;10.288,26;11,62;-3,76;0,00;185.325.027,20
MNPR3;3,89;3,34;0,54;1,37;0,62;26,63;39,94;114,01;1,54;0,84;-0,70;-0,63;0,62;1,63;-1,46;2,91;254,09;113,86;3,90;0,45;0,55;1,00;10,93;98,55;30.302,90;2,83;7,19;0,00;276.193.890,00
MOAR3;61,21;20,64;23,51;0,81;0,34;;;;-11,73;-4,93;6,80;-0,47;;0,77;-0,86;3,60;3,45;1,44;-9,19;0,42;0,58;0,00;;-20,45;0,00;75,49;2,60;-0,28;749.897.237,41
MODL11;8,46;;-27,27;1,66;0,27;50,83;-5,11;-5,48;-29,26;-29,26;;;1,50;-0,63;-0,30;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;5,09;-0,31;0,17;1.985.844.000,00
MODL3;3,08;;-29,78;1,82;0,29;50,83;-5,11;-5,48;-31,96;-29,26;;;1,63;-0,69;-0,32;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,19;1.985.844.000,00
MODL4;2,72;;-26,30;1,60;0,26;50,83;-5,11;-5,48;-28,22;-29,26;;;1,44;-0,61;-0,29;0,20;-6,10;-0,97;;0,16;0,84;0,18;;;;1,70;-0,10;0,17;1.985.844.000,00
MOSI3;8,24;;2,17;0,14;0,02;0,00;0,00;3,42;;;;0,00;0,07;;-0,02;;6,38;0,74;;0,12;0,88;0,22;;;;59,43;3,79;0,17;1.043.149.227,20
MOTV3;14,48;2,68;8,70;1,79;0,39;47,42;37,60;18,04;4,18;8,57;4,40;1,89;1,57;2,92;-0,60;1,64;20,58;4,53;10,71;0,22;0,78;0,25;13,77;77,45;127.446.215,00;8,09;1,66;0,07;29.249.600.000,00
MOVI3;9,70;7,75;10,70;1,28;0,11;33,28;22,90;2,45;1,14;6,48;5,33;5,94;0,26;-2,37;-0,15;0,85;11,92;1,01;12,75;0,09;0,91;0,41;29,14;27,29;40.852.514,14;7,60;0,91;0,27;3.900.941.727,70
MRSA3B;41,60;2,51;10,41;1,61;0,54;46,97;36,70;17,81;5,05;6,69;2,12;0,68;1,85;5,19;-0,71;1,83;15,47;5,23;7,31;0,34;0,66;0,29;16,04;25,70;3.249,73;25,83;4,00;-4,52;12.702.942.628,40
MRSA5B;36,84;3,12;9,22;1,43;0,48;46,97;36,70;17,81;4,47;6,69;2,12;0,68;1,64;4,60;-0,63;1,83;15,47;5,23;7,31;0,34;0,66;0,29;16,04;25,70;0,00;25,83;4,00;-4,01;12.702.942.628,40
MRSA6B;32,60;3,53;8,16;1,26;0,43;46,97;36,70;17,81;3,96;6,69;2,12;0,68;1,45;4,07;-0,55;1,83;15,47;5,23;7,31;0,34;0,66;0,29;16,04;25,70;652,00;25,83;4,00;-3,55;12.702.942.628,40
MRVE3;5,24;;-3,88;0,57;0,10;29,49;4,50;-6,68;5,75;21,21;15,46;1,52;0,26;0,37;-0,23;2,08;-14,60;-2,69;1,45;0,18;0,79;0,40;10,41;;40.335.982,33;9,27;-1,35;-0,39;2.949.259.440,04
MSPA3;42,42;;-7,54;0,34;0,19;29,41;-12,32;-20,26;-12,40;-21,05;-8,69;0,24;1,53;-19,56;-0,21;0,90;-4,51;-2,52;-2,97;0,56;0,44;0,12;11,98;;4.344,92;124,64;-5,62;0,00;270.599.560,90
MSPA4;41,00;;-7,29;0,33;0,18;29,41;-12,32;-20,26;-11,99;-21,05;-8,69;0,24;1,48;-18,91;-0,20;0,90;-4,51;-2,52;-2,97;0,56;0,44;0,12;11,98;;0,00;124,64;-5,62;0,00;270.599.560,90
MSRO3;702,50;;-582,54;543,26;99,88;32,64;14,13;-31,06;1.280,98;1.289,87;8,89;3,77;180,97;-174,92;-116,86;0,20;-93,26;-17,15;-0,45;0,18;0,82;0,55;-1,45;;;1,29;-1,21;-2,37;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;3,34;12,17;5,80;0,35;0,15;26,30;9,14;5,53;3,51;8,33;4,82;0,48;0,32;0,32;-0,57;2,67;5,98;2,58;4,36;0,43;0,55;0,47;20,73;4,74;2.211.213,00;9,63;0,58;2,24;353.287.898,80
MTSA3;75,49;4,24;17,08;1,43;1,06;21,97;5,82;7,44;21,82;11,83;-5,26;-0,35;1,27;1,74;-4,73;4,77;8,39;6,23;-0,01;0,74;0,26;0,84;7,69;-7,44;;52,69;4,42;2,97;519.904.181,70
MTSA4;44,11;7,98;9,98;0,84;0,62;21,97;5,82;7,44;12,75;11,83;-5,26;-0,35;0,74;1,01;-2,76;4,77;8,39;6,23;-0,01;0,74;0,26;0,84;7,69;-7,44;465.297,75;52,69;4,42;1,73;519.904.181,70
MULT3;29,91;1,85;12,55;2,37;1,15;79,07;65,29;40,23;7,73;10,00;2,27;0,70;5,05;44,20;-1,37;1,20;18,89;9,20;15,07;0,49;0,51;0,23;20,42;4,87;89.725.125,52;12,62;2,38;-1,94;15.348.726.296,91
MWET3;16,00;;-1,01;-4,26;0,10;13,05;-6,74;-17,08;-2,55;-10,89;-8,49;;0,17;-0,48;-0,15;0,62;-422,73;-9,91;-61,44;-0,02;1,02;0,58;6,20;;1.618,18;-3,75;-15,87;0,00;30.842.604,96
MWET4;14,48;;-0,91;-3,86;0,09;13,05;-6,74;-17,08;-2,31;-10,89;-8,49;;0,16;-0,43;-0,14;0,62;-422,73;-9,91;-61,44;-0,02;1,02;0,58;6,20;;910,12;-3,75;-15,87;0,00;30.842.604,96
MYPK3;9,27;3,31;15,59;0,35;0,10;12,13;6,19;0,60;1,51;5,58;4,07;0,94;0,09;0,49;-0,18;1,75;2,23;0,63;8,08;0,28;0,69;1,05;11,89;;7.798.800,36;26,66;0,59;-0,26;1.424.980.701,27
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NATU3;7,98;;-4,71;0,88;0,39;66,01;5,00;-10,70;10,10;13,77;3,68;0,32;0,50;2,41;-0,67;1,65;-18,67;-8,34;3,88;0,45;0,55;0,78;3,53;;110.382.892,90;9,07;-1,69;0,01;10.968.970.102,86
NEMO3;0,00;;0,00;0,00;0,00;31,42;20,52;6,84;0,00;6,73;6,73;5,27;0,00;0,00;0,00;3,52;26,10;2,04;3,43;0,08;0,72;0,30;10,47;;;35,31;9,22;0,00;0,00
NEMO4;0,00;;0,00;0,00;0,00;31,42;20,52;6,84;0,00;6,73;6,73;5,27;0,00;0,00;0,00;3,52;26,10;2,04;3,43;0,08;0,72;0,30;10,47;;;35,31;9,22;0,00;0,00
NEMO5;52,97;;5,75;1,50;0,12;31,42;20,52;6,84;1,92;6,73;6,73;5,27;0,39;0,64;-0,16;3,52;26,10;2,04;3,43;0,08;0,72;0,30;10,47;;;35,31;9,22;0,00;0,00
NEMO6;0,00;;0,00;0,00;0,00;31,42;20,52;6,84;0,00;6,73;6,73;5,27;0,00;0,00;0,00;3,52;26,10;2,04;3,43;0,08;0,72;0,30;10,47;;;35,31;9,22;0,00;0,00
NEOE3;33,81;2,40;7,73;1,09;0,33;26,74;21,65;9,90;3,54;7,98;4,45;1,37;0,77;4,18;-0,44;1,50;14,09;4,30;11,29;0,31;0,69;0,43;10,47;13,60;31.677.995,00;31,04;4,37;0,15;41.093.038.742,28
NEXP3;2,41;;-0,21;-0,06;0,63;100,00;-2.978,20;-4.140,92;-0,29;-0,29;0,00;;8,61;-0,07;-0,85;0,03;-29,08;-301,76;23,19;-10,38;11,37;0,07;-63,49;;1.242,48;-39,85;-11,59;0,00;6.399.921,29
NGRD3;34,20;;-31,82;0,72;0,56;58,79;-5,81;-3,67;-20,13;-12,72;7,41;-0,26;1,17;2,25;-0,89;3,21;-2,26;-1,77;-4,93;0,78;0,22;0,48;4,96;;2.078.292,67;47,54;-1,07;0,46;312.620.284,80
NORD3;2,19;;-1,28;-0,08;0,76;90,81;-169,27;-411,66;-3,11;-9,52;-6,41;;5,27;-0,07;-0,79;0,00;-6,16;-59,05;3,02;-9,59;10,59;0,14;11,03;;3.328,05;-27,81;-1,71;0,01;14.501.054,34
NRTQ3;0,00;;0,00;0,00;0,00;27,60;9,33;3,53;0,00;3,18;3,18;0,29;0,00;0,00;0,00;4,62;3,50;2,19;4,71;0,62;0,38;0,62;7,47;-12,02;;20,02;0,70;0,00;0,00
NTCO3;11,05;;-2,14;1,01;0,44;66,36;6,37;-33,04;11,11;14,05;2,94;0,27;0,71;1,99;-0,95;1,68;-47,14;-20,34;5,69;0,43;0,57;0,62;10,77;;76.344.659,00;10,94;-5,16;0,01;15.188.862.109,85
NUTR3;2,37;;4,31;0,63;0,25;14,84;5,23;3,51;2,89;4,70;1,81;0,39;0,15;1,06;-0,71;1,59;14,57;5,86;-3,68;0,40;0,60;1,67;23,51;16,23;15.364,05;3,77;0,55;0,15;31.389.228,00
OBTC3;5,91;;;;;;;;;;;;;;;;;;;;;;;;1.760.058,10;;;;0,00
ODER3;0,00;;0,00;0,00;0,00;29,07;12,94;8,14;0,00;;2,36;0,43;0,00;0,00;0,00;3,31;11,45;6,02;6,19;0,53;0,47;0,74;7,50;-10,57;;52,59;6,02;0,00;
ODER4;95,97;0,07;15,94;1,82;0,96;29,07;12,94;8,14;10,03;;2,36;0,43;1,30;2,00;-3,06;3,31;11,45;6,02;6,19;0,53;0,47;0,74;7,50;-10,57;0,00;52,59;6,02;0,25;
OFSA3;27,50;3,38;6,14;1,82;0,91;52,58;20,41;18,79;5,65;6,07;0,42;0,14;1,15;1,90;-2,78;3,46;29,59;14,82;18,05;0,50;0,50;0,79;10,90;21,91;288.327,71;15,13;4,48;0,06;1.483.597.665,00
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;0,11;;-0,02;0,00;0,00;-830,11;-402,10;-808,94;-0,04;-11,00;-10,96;;0,16;-0,01;0,00;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;58.297,00;-46,94;-5,58;0,00;37.464.799,74
OIBR4;0,84;;-0,15;-0,02;0,01;-830,11;-402,10;-808,94;-0,30;-11,00;-10,96;;1,22;-0,09;-0,02;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;3.978,52;-46,94;-5,58;0,00;37.464.799,74
OMGE3;27,57;;54,32;1.085,69;357,84;15,07;12,87;1,78;7,52;7,52;0,01;1,14;0,97;3.608,03;-463,45;1,77;1.998,54;658,71;5.560,32;0,33;0,67;369,84;38,94;15,54;;0,03;0,51;-0,64;5.521.562.588,85
ONCO3;1,38;;-0,41;2,94;0,23;29,10;-43,01;-71,05;-0,67;-2,28;-1,60;6,99;0,29;-0,54;-0,37;0,46;-720,24;-57,34;-69,32;0,08;0,91;0,81;23,04;;9.295.187,71;0,47;-3,38;0,00;1.566.434.946,06
OPCT3;10,45;0,93;17,19;2,08;0,62;27,43;15,66;5,60;6,14;10,50;4,35;1,48;0,96;3,20;-0,93;2,32;12,12;3,58;9,68;0,30;0,70;0,64;27,13;;6.291.744,52;5,02;0,61;-0,03;2.089.577.339,30
ORVR3;78,68;;126,74;7,40;2,43;45,33;29,51;7,47;32,11;36,22;4,12;0,95;9,47;14,34;-3,48;2,27;5,84;1,92;8,10;0,33;0,65;0,26;21,79;88,89;53.126.848,81;10,63;0,62;0,65;10.804.660.266,68
OSXB3;1,04;;0,00;0,00;0,00;99,98;-284,49;-1.329,34;-0,01;-33,54;-33,53;;0,04;-0,01;0,00;0,05;-10,84;-158,46;16,23;-14,62;15,64;0,12;52,47;;1.503,57;-3.234,82;-350,68;0,00;3.273.959,52
PARD3;20,25;;36,76;5,30;2,10;26,45;13,31;6,98;19,27;19,93;0,66;0,18;2,57;-54,06;-3,28;0,90;14,42;5,70;13,10;0,40;0,60;0,82;13,44;2,56;;3,82;0,55;-1,04;5.403.493.010,25
PASS3;24,94;2,28;14,41;3,11;0,51;26,19;23,89;7,94;4,79;8,31;3,52;2,29;1,14;3,74;-0,69;2,09;21,58;3,53;12,25;0,16;0,78;0,44;;;34.636.717,71;8,02;1,73;-0,36;17.811.900.969,30
PATI3;35,00;1,24;17,18;1,11;0,59;10,92;4,25;2,61;10,53;10,39;-0,11;-0,01;0,45;1,66;-1,92;2,07;6,43;3,46;4,98;0,54;0,46;1,33;6,07;-23,20;5.155,33;31,68;2,04;-0,39;834.557.057,00
PATI4;32,00;5,81;15,71;1,01;0,54;10,92;4,25;2,61;9,63;10,39;-0,11;-0,01;0,41;1,52;-1,75;2,07;6,43;3,46;4,98;0,54;0,46;1,33;6,07;-23,20;2.310,56;31,68;2,04;-0,36;834.557.057,00
PCAR3;2,28;;-0,54;1,70;0,07;28,23;-3,10;-11,18;-1,94;-7,46;-5,53;4,84;0,06;-0,29;-0,10;0,56;-316,01;-12,94;-13,22;0,04;0,96;1,16;-17,90;;9.747.277,38;1,34;-4,25;-0,06;1.123.075.024,20
PCAR4;72,11;;-16,98;53,66;2,20;28,23;-3,10;-11,18;-61,24;-7,46;-5,53;4,84;1,90;-9,08;-3,16;0,56;-316,01;-12,94;-13,22;0,04;0,96;1,16;-17,90;;;1,34;-4,25;-1,85;1.123.075.024,20
PDGR3;1,38;;-0,02;0,00;0,01;41,45;-127,39;-225,96;-0,03;-2,65;-2,62;;0,04;-0,01;-0,02;0,26;-7,46;-58,04;6,29;-7,78;8,98;0,26;-9,66;;16.218,52;-986,71;-73,57;0,00;4.536.730,68
PDTC3;1,47;;14,88;0,81;0,18;-99,76;-399,06;-290,76;10,84;28,70;17,86;1,34;;0,44;-0,45;3,23;5,46;1,22;2,51;0,22;0,78;0,00;-71,99;-14,53;26.028,76;1,81;0,10;-0,33;116.820.350,22
PEAB3;39,80;3,63;15,99;0,78;0,55;42,81;36,58;38,07;16,64;15,91;-0,74;-0,03;6,09;3,77;-0,68;4,07;4,87;3,44;3,55;0,71;0,29;0,09;-8,30;-37,26;8.393,17;51,09;2,49;0,62;722.636.902,16
PEAB4;39,88;3,99;16,02;0,78;0,55;42,81;36,58;38,07;16,67;15,91;-0,74;-0,03;6,10;3,78;-0,68;4,07;4,87;3,44;3,55;0,71;0,29;0,09;-8,30;-37,26;14.671,47;51,09;2,49;0,62;722.636.902,16
PETR3;42,25;5,48;5,06;1,22;0,44;47,36;28,88;21,60;3,79;5,88;2,25;0,73;1,09;-11,20;-0,49;0,74;24,17;8,63;8,31;0,36;0,64;0,40;12,83;72,19;425.785.247,10;34,54;8,35;0,04;521.728.118.374,24
PETR4;38,06;6,94;4,56;1,10;0,39;47,36;28,88;21,60;3,41;5,88;2,25;0,73;0,98;-10,09;-0,44;0,74;24,17;8,63;8,31;0,36;0,64;0,40;12,83;72,19;1.506.439.883,91;34,54;8,35;0,04;521.728.118.374,24
PETZ3;4,34;;40,37;1,14;0,50;47,09;4,89;1,32;10,90;10,64;-0,26;-0,03;0,53;6,98;-0,79;1,24;2,83;1,24;7,75;0,44;0,56;0,94;20,08;-3,64;23.680.881,00;3,80;0,11;-0,18;1.957.947.209,40
PFRM3;6,59;4,95;7,74;0,61;0,14;15,42;3,07;0,91;2,29;4,37;2,09;0,56;0,07;0,78;-0,46;1,33;7,86;1,75;13,17;0,22;0,73;1,92;15,87;15,05;892.004,77;10,83;0,85;-0,51;815.926.174,07
PGMN3;3,77;6,84;8,87;0,82;0,28;32,21;5,95;2,00;2,99;4,54;1,55;0,42;0,18;1,15;-0,65;1,73;9,19;3,14;14,93;0,34;0,66;1,56;16,80;26,21;18.480.940,24;4,62;0,42;0,05;2.729.096.236,62
PINE14;19,00;;9,24;2,85;0,15;20,91;15,46;10,22;6,11;3,82;;;0,94;7,41;-0,15;2,59;30,83;1,60;;0,05;0,95;0,16;31,37;;34.397,43;6,67;2,06;0,02;3.090.433.070,20
PINE3;11,90;6,87;5,79;1,78;0,09;20,91;15,46;10,22;3,82;3,82;;;0,59;4,64;-0,10;2,59;30,83;1,60;;0,05;0,95;0,16;31,37;;53.579,00;6,67;2,06;0,01;3.090.433.070,20
PINE4;12,00;6,82;5,84;1,80;0,09;20,91;15,46;10,22;3,86;3,82;;;0,60;4,68;-0,10;2,59;30,83;1,60;;0,05;0,95;0,16;31,37;;14.457.271,10;6,67;2,06;0,01;3.090.433.070,20
PLAS3;2,65;;-0,16;-0,04;0,05;13,44;-1,25;-17,27;-2,27;-18,36;-16,09;;0,03;-0,07;-0,08;0,28;-25,78;-33,13;2,81;-1,29;2,29;1,92;25,56;;790,39;-62,58;-16,13;0,00;32.927.357,70
PLPL3;8,54;5,77;5,18;1,64;0,39;29,95;14,33;9,84;3,56;3,75;0,18;0,08;0,51;0,67;-4,03;2,87;31,56;7,62;17,29;0,24;0,74;0,77;29,50;20,50;25.646.142,90;5,22;1,65;-0,57;1.741.314.540,00
