;artista;musica;pontos;pts_ganho;pts_total;data
104;KITSCHKRIEG;Gut Genug;2094;-186;0,234;20260819
105;Blumengarten;Gut Genug;2094;-186;0,234;20260819
106;Shirin David;Gut Genug;2094;-186;0,234;20260819
107;The Cranberries;Zombie;2091;611;1,965;20260819
108;Tame Impala;Dracula;2032;-358;0,827;20260819
109;JENNIE;Dracula;2032;-358;0,827;20260819
110;Bad Bunny;NUEVAYoL;2030;480;1,088;20260819
111;Post Malone;Sunflower;2026;-469;3,592;20260819
112;Swae Lee;Sunflower;2026;-469;3,592;20260819
113;Kimo Sounds;Not for Everyone;2024;204;0,006;20260819
114;Taylor Swift;The Fate of Ophelia;1997;-584;3,707;20260819
115;Justin Bieber;Beauty and a Beat;1968;169;2,78;20260819
116;LOVIXX STOSLIV;dont tell your dreams to everybody;1959;103;0,026;20260819
117;Michael Jackson;Beat It;1949;-728;0,989;20260819
118;Rockin' Jukebox;Storm in my heart;1940;60;0,034;20260819
119;River;Love Me Where It Hurts;1930;791;0,016;20260819
120;Luz;Love Me Where It Hurts;1930;791;0,016;20260819
121;Neil Diamond;Sweet Caroline;1892;89;1,535;20260819
122;Ariana Grande;petal;1884;432;0,113;20260819
123;Haruka Aoki;Tsukue Sasuru;1875;94;0,039;20260819
124;Stray Kids;This & That;1868;-1243;0,107;20260819
125;Sia;Unstoppable;1860;966;7,723;20260819
126;Martin Garrix;Repeat It;1856;1102;0,123;20260819
127;Ed Sheeran;Repeat It;1856;1102;0,123;20260819
128;Max McNown;Better Me For You;1851;268;0,747;20260819
129;James Blunt;Tastes Like Summer;1837;-356;0,02;20260819
130;Lady Gaga;Die With A Smile;1820;308;7,632;20260819
131;Bruno Mars;Die With A Smile;1820;308;7,632;20260819
132;Aitana;SUPERESTRELLA;1815;-170;0,377;20260819
133;ABBA;Dancing Queen;1811;61;1,182;20260819
134;Coldplay;Viva la Vida;1803;353;7,079;20260819
135;Madonna;Love Sensation;1769;-7;0,121;20260819
136;Kylie Minogue;Love Sensation;1769;-7;0,121;20260819
137;Jax Wilder;Dont Wait Til She's Done;1764;1764;0,002;20260819
138;Phil Collins;In the Air Tonight;1708;530;1,348;20260819
139;Christina Perri;A Thousand Years;1703;494;8,395;20260819
140;a-ha;Take On Me;1688;1592;0,783;20260819
141;Bonnie Tyler;It's a Heartache;1677;-2202;0,195;20260819
142;Dirty Thirty;Festivalwecker;1667;60;0,095;20260819
143;Jungle;Someday, Somewhere;1634;319;0,03;20260819
144;JAS;Die Jugend hat Angst;1618;493;0,003;20260819
145;Mauvais Djo;Pilé;1574;-674;0,169;20260819
146;Oasis;Wonderwall;1558;378;1,5;20260819
147;Ella Langley;Loving Life Again;1542;274;0,173;20260819
148;Tom Odell;Another Love;1540;530;2,76;20260819
149;Spitz;Unknown Thread;1538;0;0,02;20260819
150;Bloc Party;Pigwig;1535;-2373;0,005;20260819
151;Creedence Clearwater Revival;Have You Ever Seen the Rain;1529;577;0,947;20260819
152;King Gnu;GO GHOST;1526;131;0,038;20260819
153;Alphaville;Forever Young;1515;-364;1,357;20260819
154;IMP.;PINKY. ni narouyo 2026;1508;-60;0,003;20260819
155;County Line Glow;One More;1508;-458;0,009;20260819
156;LEO;Tenderly;1495;1495;0,001;20260819
157;John Denver;Take Me Home, Country Roads;1489;240;0,741;20260819
158;Luke Combs;Be By You;1487;-290;0,355;20260819
159;Yuuri;Livin' On A Prayer;1479;458;0,003;20260819
160;Justen de Wildt;Cheerio;1465;-29;0,184;20260819
161;Mrs. GREEN APPLE;Brand New;1450;28;0,058;20260819
162;Ofenbach;Four To The Floor;1447;520;0,045;20260819
163;Starsailor;Four To The Floor;1447;520;0,045;20260819
164;SIENNA SPIRO;Material Lover;1440;301;0,272;20260819
165;XXXTENTACION;Moonlight;1439;-1054;0,887;20260819
166;Prospa;Free Your Mind;1433;389;0,122;20260819
167;Cloonee;Free Your Mind;1433;389;0,122;20260819
168;Metallica;Enter Sandman;1425;-247;1,707;20260819
169;Hatsuboshi Gakuen;"""listen... I Have to Say It.""";1422;-57;0,003;20260819
170;Don Miguelo;Y Qué Fue;1416;-295;0,266;20260819
171;The Killers;Mr. Brightside;1410;-543;1,843;20260819
172;Rutger Van Barneveld;Zwoele Zomernachten;1401;-153;0,095;20260819
173;Elevation Worship;God I'm Just Grateful;1395;-68;0,16;20260819
174;Chandler Moore;God I'm Just Grateful;1395;-68;0,16;20260819
175;Guns N' Roses;Sweet Child o' Mine;1389;-99;2,458;20260819
176;Bad Bunny;BAILE INoLVIDABLE;1383;-168;0,575;20260819
177;Zenar;Te conocí;1379;597;0,031;20260819
178;Dario Coiro;Te conocí;1379;597;0,031;20260819
179;The Beatles;Here Comes the Sun;1368;641;0,884;20260819
180;Enrico Nigiotti;Maledetti innamorati;1360;444;0,018;20260819
181;Coldplay;A Sky Full of Stars;1354;81;11,339;20260819
182;ATEEZ;BAD;1347;-424;0,126;20260819
183;Peter Maffay;Ein Leben lang ist nicht lang;1341;-398;0,054;20260819
184;Johannes Oerding;Ein Leben lang ist nicht lang;1341;-398;0,054;20260819
185;KO1KEYZ;KO1KEYZ;1341;-313;0,005;20260819
186;Return to Peace;Good day;1334;178;0,006;20260819
187;Diane Butler;I Miss You More;1326;834;0,01;20260819
188;KAROL G;BbY WOW;1323;290;0,008;20260819
189;Judeline;BbY WOW;1323;290;0,008;20260819
190;rusowsky;BbY WOW;1323;290;0,008;20260819
191;Bad Bunny;DtMF;1319;541;1,233;20260819
192;River Cain;Jesus On The Rocks;1315;-423;0,007;20260819
193;sakanaction;Yoru No Odoriko;1315;0;0,173;20260819
194;Jernblod;Run With The Wolves;1308;-286;0,01;20260819
195;Michael Jackson;Smooth Criminal;1301;262;0,606;20260819
196;SIENNA SPIRO;Great Expectation;1299;30;0,032;20260819
197;Cardi B;AH HA;1290;49;0,041;20260819
198;G Flip;Bed on Fire;1290;-87;0,2;20260819
199;Hikaru GENJI;Glass no Jyudai;1290;1290;0,001;20260819
200;Ado;Monstruo;1288;-80;0,023;20260819
201;Wasureranneyo;Nannmonee;1278;-35;0,056;20260819
202;BOYNEXTDOOR;Boom Boom Boom;1265;-931;0,003;20260819
203;Josh Fawaz;Like a Prayer;1261;-156;0,558;20260819
204;Florian Künstler;Ich wie du;1241;93;0,01;20260819
205;Creepy Nuts;Running Wheel;1241;887;0,002;20260819
206;River Cain;Mama's Boy;1240;-1247;0,015;20260819
207;Aiyana-Lee;Housebroken;1234;-1297;0,147;20260819
208;M!LK;Sukisugite METSU;1217;-24;0,373;20260819
209;Evanescence;Bring Me to Life;1209;238;1,705;20260819
210;EBiDAN Ebisu Gakuen Boys Club;Yes Tokyo;1193;-97;0,049;20260819
211;chotokkyu;Yes Tokyo;1193;-97;0,049;20260819
212;M!LK;Yes Tokyo;1193;-97;0,049;20260819
213;GNJB;Yes Tokyo;1193;-97;0,049;20260819
214;Zara Larsson;Lush Life;1185;198;2,939;20260819
215;Nash Blackwood;Love Me At My Lowest;1185;191;0,075;20260819
216;AI IRIE FM;No Stress, Just Vibes;1177;584;0,025;20260819
217;Dave;Raindance;1171;-189;0,463;20260819
218;Tems;Raindance;1171;-189;0,463;20260819
219;Hikaru GENJI;Paradise Ginga;1170;1170;0,001;20260819
220;Shaboozey;Cowgirl;1167;-232;0,191;20260819
221;Jahin Music;Your Phone Linging;1156;275;0,377;20260819
222;Lisa Gerrard;Now We Are Free;1145;243;0,503;20260819
223;Gavin Greenaway;Now We Are Free;1145;243;0,503;20260819
224;The Lyndhurst Orchestra;Now We Are Free;1145;243;0,503;20260819
225;Bruce Fowler;Now We Are Free;1145;243;0,503;20260819
226;Yvonne S. Moriarty;Now We Are Free;1145;243;0,503;20260819
227;Walt Fowler;Now We Are Free;1145;243;0,503;20260819
228;Ladd McIntosh;Now We Are Free;1145;243;0,503;20260819
229;Elizabeth Finch;Now We Are Free;1145;243;0,503;20260819
230;Jack Smalley;Now We Are Free;1145;243;0,503;20260819
231;Hans Zimmer;Now We Are Free;1145;243;0,503;20260819
232;Cameron Whitcomb;Kingdom of Fear;1143;-34;0,569;20260819
233;Noah Nine;A Man Can Cry;1132;-880;0,187;20260819
234;Teddy Swims;Lose Control;1132;177;7,521;20260819
235;Élise Noiret;Le Temps des Fleurs Fanées;1132;352;0,002;20260819
236;Hikaru GENJI;STAR LIGHT;1125;1125;0,001;20260819
237;Toto;Africa;1119;891;0,983;20260819
238;Noah Kahan;Orbiter;1115;158;0,086;20260819
239;Yung Miami;Spend Dat;1104;-86;0,065;20260819
240;Andreas Gabalier;UNA CANZONE PER TE;1089;558;0,069;20260819
241;Pietro Basile;UNA CANZONE PER TE;1089;558;0,069;20260819
242;Marconi Union;Weightless;1087;-254;0,23;20260819
243;LYRICFLOW81;Destino o follia;1083;-125;0,003;20260819
244;Hachiware(CV:Tanaka Makoto);Kutsuzure;1083;-110;0,032;20260819
245;Benson Boone;The Time Of My Life;1064;177;0,101;20260819
246;sumika;Umm;1062;1062;0,001;20260819
247;Tulus;Teh Hijau;1052;-20;0,047;20260819
248;Gospelize;Maladie;1046;493;0,044;20260819
249;Fleetwood Mac;Dreams;1045;198;1,585;20260819
250;Steve Lacy;oh yeah;1044;-453;0,025;20260819
251;Mack Geiger;Pouring;1043;971;0,002;20260819
